countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
FI,Finland,100542,Äänekoski,1360474,Hotel Hirvi,ThreeStar,Kotakennääntie 9 44100 Äänekoski ,,"Set in a late 1930s building in Äänekoski, this hotel is 500 metres from the E75 motorway. It offers in-room tea/coffee facilities, free parking and free Wi-Fi in public areas.

Private bathrooms, work desks and TVs are in all rooms at Hotel Hirvi.

Free sauna and indoor pool access is offered Monday to Thursday. During winter, parking heaters are available on request. Jyväskylä city centre is 40 km from Hirvi Hotel. Jyväskylä Airport is within 25 minutes drive. Please inform Hotel Hirvi in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Reception opening hours are as follows:

Monday-Thursday: 06:00-21:00
Fridays: 06:00-18:00
Saturday: 07:00-12:00
Sunday: Closed, guest must contact the hotel to arrange a time

If you expect to arrive outside reception opening hours, please inform Hotel Hirvi in advance.

Please note that the hotel rooms are located on the first and second floor, and that there is no lift in the building.",+35814520125,Parking Pets allowed meeting/banquet facilities Bar Sauna Non-smoking rooms Family rooms Free parking internet services express check-in/check-out Soundproof rooms Heating Luggage storage wifi Allergy-free room Indoor pool Free WiFi Non-smoking throughout designated smoking area Indoor pool (seasonal) Private check-in/check-out Daily housekeeping parking on site wifi available in all areas Street parking Swimming pool Key access Key card access Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered,62.60137|25.72162,+35814520121,44100,https://www.booking.com/hotel/fi/hirvi.html
FI,Finland,100542,Äänekoski,1371435,Hotelli Keitele,ThreeStar,Hotellinpolku 1 44200 Suolahti ,,"This family-owned hotel is quietly located 850 metres from Suolahti town centre and 9 km from the town of Äänekoski. It offers free evening sauna access and a furnished terrace. Jyväskylä Airport is 30 km away.

A seating area, TV, work desk, as well as a private bathroom with shower are included in each Hotelli Uninen Äänekoski guest room. All have views of the neighbouring forest and are decorated with classic décor.

Free WiFi is available. Breakfast buffet is served from Monday to Friday in the spacious dining room. Guests can also enjoy a bar on site.

Area activities include fishing, along with jogging and cross-country skiing on the lit paths that start at the hotel. Jyväskylä city centre is 45 minutes drive away. Palsamäki Auction House is 15 km away and the Valtra tractor factory is within 5 km. Please inform Hotelli Uninen Äänekoski in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
If you are arriving on the weekend or expect to arrive outside reception opening hours, please inform Hotelli Äänekoski in advance.

Free evening sauna access is from 18:00-21:00.

The restaurant is closed on Friday evening, Saturdays and Sundays.",,Parking Pets allowed Non-smoking rooms Free parking internet services express check-in/check-out Heating wifi Free WiFi Non-smoking throughout parking on site Private parking wifi available in all areas Accessible parking Security alarm CCTV in common areas Fire extinguishers linens  towels and laundry washed in accordance with local authority guidelines contactless check-in/check-out cashless payment available invoice provided property is cleaned by professional cleaning companies,62.56231|25.83988,+358207514650,44200,https://www.booking.com/hotel/fi/hotelli-keitele.html
FI,Finland,100542,Äänekoski,5207310,Accommodation And Fishing Vonkale,All,Halmevalkamantie 116  ,,"Located by Lake Keitele, these cottages are 15 minutes drive from central Suolahti. Each has kitchen facilities, a patio with BBQ and free Wi-Fi. A free rowing boat is also available.

Lake views can be enjoyed from all cottages at Accommodation & Fishing Vonkale. All have a living/dining room with a sofa and fireplace. Some have a waterless, eco-friendly toilet, while others include a private sauna, toilet and shower.

A sauna, shared bathroom and washing machine are found 250 metres away, in a service building. Children can enjoy the playground, play beach volleyball or pet the sheep.

Fishing and hiking are popular area activities and the accommodation staff arrange guided fishing tours year round. The closest restaurant and supermarket are 10 km away. Äänekoski town centre is within 25 minutes drive. Please inform Accommodation and Fishing Vonkale in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Bed linen and towels are not included. You can rent them on site or bring your own.

You can clean before check-out or pay a final cleaning fee.",,secured parking Accessible parking Strollers Pet bowls Outdoor furniture Outdoor fireplace Beach Shuttle service Parking Pets allowed Sauna Garden Terrace Non-smoking rooms Fishing Skiing Family rooms Free parking internet services express check-in/check-out children's playground Windsurfing Darts Canoeing Hiking BBQ facilities Cycling Tour desk Heating Diving Snorkelling wifi Free WiFi Non-smoking throughout Private beach area Sun terrace Private check-in/check-out shuttle service (additional charge) water sport facilities on site Beachfront parking on site Private parking board games/puzzles kids' outdoor play equipment Key access Smoke alarms bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay,62.61736|25.80321,044 3049458,44220,https://www.booking.com/hotel/fi/majoitus-ja-kalastus-vonkale-oy.html
FI,Finland,100542,Äänekoski,5207318,Villa Vonkale,All,Halmevalkamantie 82  ,,"Just 30 metres from Lake Keitele, this secluded villa features a lake view terrace with BBQ, a private sauna and a living room with fireplace. Äänekoski town centre is 25 minutes drive away.

Villa Vonkale has a well-equipped kitchen with dining area, and the living room has a flat-screen TV and DVD. A video projector complete with screen is also available, for that ultimate movie night experience.

More physical pursuits the area offers include fishing and hiking. Canoes and ski equipment are available for rent at Vonkale.

Jyväskylä Airport is 38 minutes drive away. Please let Villa Vonkale know your expected arrival time in advance. You can use the Special Requests box when booking or contact the property.

Bed linen and towels are not included. You can rent them on site or bring your own.
Managed by a private host",,staff follow all safety protocols as directed by local authorities invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Parking Pets allowed Sauna Garden Terrace Non-smoking rooms Airport shuttle Fishing Skiing Family rooms Free parking internet services express check-in/check-out children's playground Windsurfing Darts Hot tub/jacuzzi Canoeing Hiking BBQ facilities Cycling Tour desk Heating Snorkelling Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Private beach area Sun terrace Private check-in/check-out shuttle service (additional charge) ski equipment hire on site airport shuttle (additional charge) Beachfront parking on site Private parking wifi available in all areas Open-air bath Smoke alarms use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning,62.61966|25.80141,,44220,https://www.booking.com/hotel/fi/villa-vonkale.html
FI,Finland,100542,Äänekoski,5207326,Kartano Kievari,ThreeStar,Saarijärventie 434  ,,"Kartano Kievari is located in Äänekoski and offers rooms with a TV, coffee facilities and a private bathroom with shower.

The guest rooms are located next door, in the Tiilitalo and Theater building. Some rooms have a patio and private entrance.

There is also a communal sauna, which guests can use at a surcharge, as well as a garden and meeting facilities. Breakfast is served daily, either as a buffet-style breakfast or as breakfast baskets delivered to the room.

The property offers free parking. Jyväskylä Airport is 22 km away. Please note that there is no reception. Please include a valid phone number when booking, as check-in instructions are sent via SMS on the arrival day.

Tickets to dance pavilion events, organised on Saturdays in October-April, can be bought at reception for a guest discount price.

Please notice that from 6th April 2020 until further notice there is no breakfast buffet available but breakfast basket will be delivered into the fridges in rooms. Coffee making facilities can be found in rooms as well.",,physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available secured parking Accessible parking Outdoor furniture Outdoor fireplace Beach Shuttle service Tour or class about local culture Live music/performance Key access Security alarm Smoke alarms CCTV outside property Fire extinguishers parking on site Private parking Parking meeting/banquet facilities Sauna Garden Non-smoking rooms Fishing Free parking internet services express check-in/check-out Heating Fax/photocopying wifi Free WiFi Non-smoking throughout Private beach area Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) Shared kitchen,62.59092|25.60195,,44170,https://www.booking.com/hotel/fi/kartano-kievari.html
FI,Finland,101206,Ahtari,1095529,Holiday Club ÄhtÄri Villas,ThreeStar,Karhunkierros 149 Karhunkierros 14963700 Ähtäri ,,"Hotel Mesikämmen is located by the Hankavesi River and offers a free gym and free parking. Flowpark Ähtäri Zoo, with pandas and Finnish wildlife, is 200 meters away.

Rooms come equipped with a flat-screen TV, free WiFi and lake-view balconies. All rooms have a private bathroom with shower. There are also larger family rooms available.

Hotel Mesikämmens restaurant offers à la carte dinner. Breakfast is included in the room rate.

Guests can enjoy spa services all year round.

Jogging trails, a tennis court and a golf course are found nearby. Hotel Mesikämmen is 7 km away from Ähtäris city center, and 1 km away from the nearest train station. Restaurant is closed from Sat 01 Jan 2022 until Sun 13 Feb 2022
Bar is closed from Sat 01 Jan 2022 until Sun 13 Feb 2022",358 6 5391111,hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities wifi available in all areas Private parking parking on site Beachfront designated smoking area Non-smoking throughout Free WiFi Allergy-free room wifi Fax/photocopying Heating Bowling Hot tub/jacuzzi Billiards Massage Spa and wellness centre lift internet services Free parking Family rooms Skiing Facilities for disabled guests Non-smoking rooms Terrace Golf course (within 3 km) Sauna Tennis Court Bar meeting/banquet facilities Pets allowed Restaurant Parking,62.53529|24.1866,358-06-5391111,63700,https://www.booking.com/hotel/fi/hotelli-mesika-mmen.html
FI,Finland,101206,Ahtari,1566493,Honkiniemi,ThreeStar,Honkiniementie 150 63700 Ähtäri ,,"Offering a private beach by Lake Ähtärinjärvi, Honkiniemi is 15 km from Ähtäri city centre. WiFi and parking are free.

Lake views and a private bathroom with shower are standard at Honkiniemi.

A sauna is found on site, as well as a green courtyard area with a campfire pit. The restaurant serves a daily breakfast.

Other facilities include a ski storage room, childrens playground and free boat or canoe rentals. Cross-country skiing, cycling and hiking are popular in the area.

Ähtäri Zoo is a 20-minute drive away. Jyväskylä Airport is within 88 km of Honkiniemi. Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Please inform Honkiniemi in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the extra beds are mattresses.

Please know that pets are only allowed in certain rooms and these are limited in number. Contact Honkiniemi Accommodations in advance for further information.",,Key access Smoke alarms Fire extinguishers linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities first aid kit available cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided property is cleaned by professional cleaning companies Badminton equipment Toilet with grab rails Wheelchair accessible Accessible parking kids' outdoor play equipment board games/puzzles wifi available in all areas Private parking parking on site Beachfront Private beach area designated smoking area Non-smoking throughout Free WiFi Ski storage wifi Fax/photocopying Heating Bowling Chapel/shrine Hiking Canoeing Darts Table tennis children's playground internet services Free parking Family rooms Skiing Facilities for disabled guests Fishing Non-smoking rooms Terrace Beach Garden Outdoor fireplace Sauna meeting/banquet facilities Parking Picnic area Outdoor furniture,62.65397|24.06219,06 4184450,63700,https://www.booking.com/hotel/fi/honkiniemi.html
FI,Finland,101206,Ahtari,1583604,Valkeisen Loma,ThreeStar,Valkeisentie 157 63700 ÄhtäriSouthern Ostrobothnia ,,"Set on a working farm, Valkeisen Loma is a 15-minute drive from Ähtäri town centre. It offers free Wi-Fi and apartments and cottages with private bathroom and kitchenette facilities. Ähtari Zoo is 7 km away.

All units at Valkeisen Loma feature wooden interiors and a private entrance. Kitchenette facilities include a microwave, fridge and coffee maker.  Some include a TV while others have a fireplace.

The property has 3 rentable sauna departments, including a beach sauna and smoke sauna. Guests can rent bicycles, canoes and cross-country ski equipment on site. Children can play on the playground or see the animals on the farm during summer.

Breakfast is served if ordered in advance. Refreshing drinks can be enjoyed in the bar.

Free parking is available on site. Village Shop Tuuri is 32 km away. Bed linen and towels are not included for some room types. You can rent them on site or bring your own.

If you are planning on arriving outside check-in times, please let Valkeisen Loma know your expected arrival time in advance. You can use the Special Requests box when booking or contact the property.

Kindly observe that breakfast must be ordered in advance between September and May.

Please note that pets are only allowed in some room types. In order to obtain more information about this, please contact the property in advance.",,face masks for guests available use of cleaning chemicals that are effective against coronavirus bicycle rental Fire extinguishers CCTV outside property Smoke alarms Key access Shuttle service Beach Lower bathroom sink Toilet with grab rails Wheelchair accessible Accessible parking secured parking kids' outdoor play equipment Indoor play area board games/puzzles Private parking parking on site Beachfront Special diet menus (on request) ski equipment hire on site shuttle service (additional charge) thermometers for guests provided by property delivered food is securely covered all plates  cutlery  glasses and other tableware have been sanitized invoice provided physical distancing rules followed cashless payment available contactless check-in/check-out first aid kit available hand sanitizer in guest accommodation and key areas staff follow all safety protocols as directed by local authorities food can be delivered to guest accommodation physical distancing in dining areas linens  towels and laundry washed in accordance with local authority guidelines Sun terrace Private beach area Non-smoking throughout Free WiFi Allergy-free room wifi Luggage storage Fax/photocopying Heating Cycling BBQ facilities Hiking Canoeing Darts Terrace Garden Sauna Bar children's playground internet services Free parking Games room Family rooms Skiing Facilities for disabled guests Fishing meeting/banquet facilities Non-smoking rooms Pets allowed Restaurant Parking,62.5871|24.1871,050 5666843,63700,https://www.booking.com/hotel/fi/valkeisen-loma.html
FI,Finland,101206,Ahtari,1617784,Naava Resort,FourStar,Mesikuja 4 63920 Ähtäri ,,"Overlooking Lake Hankavesi, Naava Resort offers modern, air-conditioned villas with furnished 90m² terraces, free Wi-Fi access and private saunas. Ähtäri town centre is a 10-minute drive away.

A living room with a seating area, fireplace and flat-screen TV are featured in each villa. Both villas have a fully equipped kitchen. The tiled bathrooms include a shower, washing machine and clothes dryer.

Relaxation options include a bookable hot tub. A rowing boat is available for guests use at the private dock. Cross-country skiing trails are found directly at Resort Naava.

A restaurant, spa facilities and tennis court are found at Hotel Mesikämmen, 7 minutes walk from the property. Ahtäri Golf Club is 3 km away.",,Fishing Terrace On-site parking Hiking Parking Golf course (within 3 km) Garden Free parking Sauna BBQ facilities Free WiFi wifi Cycling Skiing Non-smoking rooms Heating Private parking wifi available in all areas Non-smoking throughout designated smoking area internet services Tennis Court,62.53536|24.18052,040 5608455,63700,https://www.booking.com/hotel/fi/naava-resort.html
FI,Finland,101206,Ahtari,1885273,Sedu Ähtäri Tuomarniemi,All,Tuomarniementie 55 63700 Ähtäri ,,"Situated on the beachfront in Ähtäri, Sedu Ähtäri Tuomarniemi has a garden.

Guests at the hostel will be able to enjoy activities in and around Ähtäri, like hiking.

The nearest airport is Jyväskylä Airport, 110 km from Sedu Ähtäri Tuomarniemi. Bed linens and towels are not included in the room rate. Guests can rent them at the property for an additional charge of EUR 10 per person or bring their own.",,contactless check-in/check-out Beach Outdoor fireplace Private parking parking on site Beachfront Private check-in/check-out Non-smoking throughout Heating Hiking Canoeing Free parking Non-smoking rooms Garden Sauna meeting/banquet facilities Parking,62.5465|24.13954,,63700,https://www.booking.com/hotel/fi/sedu-ahtari-tuomarniemi.html
FI,Finland,101206,Ahtari,1896176,Naava Chalets,FiveStar,Mesikuja 2 63700 Ähtäri ,,"Naava Chalet Pyry (201) features a sauna and free private parking, and is within 5.9 km of Ahtarin Golf and 4 km of Inha.

The air-conditioned units are furnished with parquet floors and feature a private bathroom, a flat-screen TV, free WiFi, wardrobe, a living room, an equipped kitchen, balcony and views over the lake. A dishwasher, a microwave and fridge are also available, as well as a kettle and a coffee machine.

The aparthotel offers a terrace.

Myllymäki is 7.3 km from Naava Chalet Pyry (201), while Niemiskylä is 8.3 km from the property. The nearest airport is Jyväskylä Airport, 107 km from the accommodation. Managed by a private host",,parking on site Air conditioning Free WiFi wifi internet services Free parking Family rooms Non-smoking rooms Terrace Golf course (within 3 km) Sauna Tennis Court Parking wifi available in all areas Private parking,62.53255|24.18571,,63700,http://www.naavaresort.fi
FI,Finland,101206,Ahtari,5446048,Luoman HirvimÖkit,FourStar,Karhunkierros 229  ,,"These luxury cottages are located in Ähtäri Nature Park, just 300 metres from Lake Hankavesi. Each offers an electric sauna, as well as a fully equipped kitchen and private, lake-view terrace.

Contemporary furnishings and amenities are included in all the 2-bedroom cottages at Luoman Hirvimökit. Each has a seating area with a fireplace, flat-screen TV with cable channels and a DVD player.

High chairs and camp beds for babies are available, and an outdoor wood-fired hot tub is available at a surcharge.

On-site activities include a zoo and mini golf at the nature park, as well as swimming and fishing in the lake. Hirvimökit guests can also rest and relax on their furnished terrace.

The closest restaurant is 600 metres away, while a grocery store can be found in Ähtäri town centre, 8 km from the cottages. Tuuri Village Shop is 25 minutes drive away. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property will not accommodate hen, stag or similar parties.
Bed linen and towels are not included. You can rent them with prior arrangement at a surcharge or bring your own.

Please note, pets can only be accommodated in specific units; please confirm with the hotel.",,Smoke alarms Beach Full body massage Hand massage Head massage Foot massage Neck massage Back massage Outdoor furniture Street parking Private parking parking on site Beachfront Private beach area Non-smoking throughout Allergy-free room Mini golf Horse riding Heating Bowling Cycling Hiking Canoeing Massage Free parking Skiing Fishing Non-smoking rooms Terrace Garden Golf course (within 3 km) Sauna Tennis Court Parking guests have the option to cancel any cleaning services for their accommodation during their stay property is cleaned by professional cleaning companies invoice provided physical distancing rules followed cashless payment available contactless check-in/check-out shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus,62.54074|24.17152,06 5428521,63700,https://www.booking.com/hotel/fi/luoman-hirvimokit.html
FI,Finland,101206,Ahtari,5573172,HyvÖlÄn Talo,ThreeStar,Kaijantie 133  ,,"Set a 6-minute drive from central Ähtäri, Hyvölan Talo offers free use of rowing boats and rooms and apartments with free WiFi access. Ahtäri Zoo is a 15-minute drive away.

The guest rooms have access to shared bathroom facilities.

The property has a small swimming beach for children. Additional facilities include 2 saunas, a beach volleyball court by the lake and barbecue equipment.

The nearest grocery stores and restaurants are found in Ähtäri. Popular activities in the area include fishing, hunting and hiking.The Keskinen Village Shop is a 25-minute drive away. Please inform Hyvölän Talo in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please let Hyvölän Talo know your expected arrival time in advance. You can use the Special Requests box when booking or contact the property.

Please note that the stated occupancy is the maximum occupancy. When bringing more people than allowed, the property remains the right to refuse the reservation.",,secured parking wifi available in all areas Private parking parking on site airport shuttle (additional charge) water sport facilities on site Private beach area designated smoking area Non-smoking throughout Free WiFi wifi Heating BBQ facilities Canoeing internet services Free parking Family rooms Skiing Fishing Airport shuttle Non-smoking rooms Terrace Garden Sauna Pets allowed Parking invoice provided Beach Outdoor fireplace Outdoor furniture airport drop off airport pick up,62.52683|24.06596,,63700,https://www.booking.com/hotel/fi/hyvolan-talo.html
FI,Finland,101206,Ahtari,5573203,Hyvölän Mökit,FourStar,Saukonniementie 100  ,,"These modern, log-cabin villas are located next to Lake Ouluvesi, 2 km from central Ähtäri and 13 minutes drive from Ähtäri Zoo. Each features free WiFi, a private sauna and lake-view patio.

Large windows and contemporary furnishings are offered at Hyvölän Mökit, as well as a fully-equipped kitchen. The spacious seating area includes a fireplace, flat-screen TV and DVD player. Guests can enjoy a washing machine, drying cabinet and BBQ facilities.

Free use of a row boat is available at Hyvölän Mökit, along with a grill hut. A bookable smoke sauna and an outdoor wooden hot tub are available at additional cost. Canoes, snowmobiles and fishing equipment can also be rented on site. Hiking and swimming are other common area activities.

The Keskinen Village Shop in Tuuri is 25 minutes drive away. A shuttle service from Tampere-Pirkkala Airport can be arranged. Please inform Hyvölän Mökit in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
After booking, you will receive payment instructions from Hyvölän Mökit via email.

Check-in takes place at Pihlajavedentie 46, about 2.5 km from the property.

A mandatory fee for bed linen and towels is not included.",,internet services Free parking Family rooms Skiing Fishing Airport shuttle Non-smoking rooms Terrace Sauna Parking invoice provided staff follow all safety protocols as directed by local authorities Baby safety gates Open-air bath wifi available in all areas Private parking parking on site Beachfront water sport facilities on site shuttle service (additional charge) Sun terrace Private beach area Air conditioning Non-smoking throughout Free WiFi wifi Heating BBQ facilities Hiking Canoeing Hot tub/jacuzzi,62.53879|24.07455,040 0216326,63700,https://www.booking.com/hotel/fi/hyvola-mokit.html
FI,Finland,101206,Ahtari,5588366,Kesaaitat,All,Karhunkierros 99 Karhunkuja 2  ,,"Set 5.3 km from Ahtarin Golf and offering a terrace and free WiFi, Kesäaitat offers accommodation in Ähtäri.

For added convenience, the property can provide towels and bed linen for an extra charge.

After a day of hiking or cycling, guests can relax in the garden or in the shared lounge area.

The nearest airport is Jyväskylä Airport, 105 km from the camping. Please inform Kesäaitat in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,invoice provided shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm Key access Outdoor fireplace Picnic area Outdoor furniture Sun umbrellas Pet bowls Badminton equipment Higher level toilet Toilet with grab rails Accessible parking secured parking kids' outdoor play equipment Indoor play area board games/puzzles parking on site Daily housekeeping shared lounge/TV area Shared kitchen Private check-in/check-out Sun terrace designated smoking area Non-smoking throughout Free WiFi Mini golf wifi Fax/photocopying Heating Bowling Cycling Hiking Canoeing Darts Table tennis internet services Free parking Games room Family rooms Facilities for disabled guests Non-smoking rooms Terrace Garden Golf course (within 3 km) meeting/banquet facilities Pets allowed Parking,62.53291|24.19558,,63700,https://www.booking.com/hotel/fi/kesaaitat.html
FI,Finland,101206,Ahtari,5627577,Holiday Home Lähesniemi,ThreeStar,Tohisevantie 80 63700 Ähtäri Finland  ,,"Holiday Home Lähesniemi is situated in Hokkanen, 15 km from Ahtarin Golf, in an area where skiing can be enjoyed.

The holiday home features a TV. The accommodation is fitted with a kitchenette with a fridge and dishwasher.

The nearest airport is Jyväskylä Airport, 119 km from the holiday home. Please inform Holiday Home Lähesniemi in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the full amount of the reservation is due before arrival. Interhome will send a confirmation with detailed payment information. After full payment is taken, the propertys details, including the address and where to collect keys, will be emailed to you.
Bedlinen can be rented (reservation needed) at EUR 12.22 per person per stay or guests can bring their own. Final Cleaning can be organized at EUR 165.00 per stay or guests clean by themselves. Important: Bed linen, towels and final cleaning are not included in the rental price. These services are optional. Please note that if you havent booked them, please do so well in advance and contact us accordingly. Otherwise you will have to bring your own linen and towels and leave the property clean on departure.",,screens or physical barriers placed between staff and guests in appropriate areas physical distancing rules followed contactless check-in/check-out staff follow all safety protocols as directed by local authorities guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines Non-smoking throughout Skiing Non-smoking rooms Sauna Pets allowed Parking,62.61316|24.14823,,63700,https://www.booking.com/hotel/fi/holiday-home-lahesniemi.html
FI,Finland,101206,Ahtari,5915657,Inhan Kartano,All,Myllymaentie 370 As 1  ,,"Situated in Ähtäri, Inhan Kartano is an apartment with a terrace. Ähtari Zoo is 2.5 km away. Free private parking is available on site.

The unit is equipped with a kitchen. A flat-screen TV is provided. Other facilities at Inhan Kartano include a sun terrace. Guests can relax in the lakeside sauna.

The area is popular for skiing and golfing. The department store Veljekset Keskinen is located 29 km away. The nearest airport is Jyväskylä Airport, 80 km from the property. Please inform Inhan Kartano in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that bed linen and towels are not included. Guests can bring their own or rent them on site.

Please note that final cleaning is not included. You can clean before check-out or pay a cleaning fee.",,bicycle rental invoice provided Parking Sauna Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing Facilities for disabled guests Family rooms Free parking internet services express check-in/check-out Hiking BBQ facilities Cycling Heating wifi Free WiFi Non-smoking throughout Air conditioning Private beach area water sport facilities on site Beachfront parking on site Private parking board games/puzzles Indoor play area kids' outdoor play equipment secured parking electric vehicle charging station Outdoor fireplace Beach Key access Smoke alarms,62.54767|24.1628,,63920,https://www.booking.com/hotel/fi/inhan-kartano.html
FI,Finland,101206,Ahtari,6064227,Vanha pappila Hetki Oy,All,4 Kiertotie  ,,"Set in Ähtäri, 5.6 km from Ahtarin Golf, Vanha pappila Hetki Oy offers accommodation with a garden, free private parking, a shared lounge and a terrace. The property is allergy-free and is situated 46 km from Golf-Virrat.

At the inn, every room includes a desk, bed linen and a patio with a garden view. With a shared bathroom equipped with free toiletries, rooms at Vanha pappila Hetki Oy also provide guests with free WiFi, while certain rooms will provide you with a balcony. The units will provide guests with a fridge.

Guests at the accommodation can enjoy a buffet breakfast.

The nearest airport is Jyväskylä Airport, 110 km from Vanha pappila Hetki Oy.",,kids' outdoor play equipment secured parking Accessible parking Pet bowls coffee house on site Beach Key access Smoke alarms Fire extinguishers Parking Garden Terrace Non-smoking rooms Family rooms Free parking internet services Heating wifi Allergy-free room Free WiFi Non-smoking throughout designated smoking area Private beach area shared lounge/TV area Beachfront parking on site Private parking wifi available in all areas board games/puzzles,62.54923|24.06888,,63700,https://www.booking.com/hotel/fi/vanha-pappila-hetki-oy.html
FI,Finland,100374,Äkäslompolo,1015309,Villa Armas,All,95970 Äkäslompolo  ,,"Villa Armas 47 is set in Äkäslompolo. Offering free private parking, the holiday home is 38 km from Kolari Train Station.

The 3-bedroom holiday home is fitted with a living room with flat-screen TV, and a fully equipped kitchen.

Villa Armas 47 offers a sauna.

The nearest airport is Kittilä Airport, 51 km from the accommodation. This property will not accommodate hen, stag or similar parties.
Managed by a private host",+35816569611,Parking Sauna Free parking Non-smoking throughout parking on site Private parking,67.60514|24.17523,+358165103300,95970,https://shop.destinationlapland.com/cottageDetail/
