countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
NO,Norway,101335,Åfjord,1417672,Fosen Fjordhotel,ThreeStar,Nedre Årnes 5 7170 Åfjord ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Fosna - 15 km / 9.3 mi <br /> Hosnasanden - 34.9 km / 21.7 mi <br /> Breilisand - 46.8 km / 29.1 mi <br /> </p><p>The preferred airport for Fosen Fjordhotel is Orland (OLA-Brekstad) - 60.9 km / 37.9 mi </p>,"<p>HeadLine : On a river</p><p>Location : With a stay at Fosen Fjordhotel, you ll be centrally located in Åfjord, 9.3 mi (15 km) from Fosna and 21.7 mi (34.9 km) from Hosnasanden.  This hotel is 29.1 mi (46.8 km) from Breilisand.</p><p>Rooms : Treat yourself to a stay in one of the 40 guestrooms, featuring fireplaces and flat-screen televisions. Your room comes with a pillowtop bed. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : At Fosen Fjordhotel, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",47-72532001,Use of nearby fitness center (discount) Free self parking Fitness facilities Conference space Terrace Concierge services Dry cleaning/laundry service Banquet hall Nightclub Meeting rooms Television in common areas Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden Picnic area Free newspapers in lobby Wedding services Tours/ticket assistance Free Buffet Breakfast Wheelchair accessible  no Luggage storage Free breakfast Business center 24-hour front desk Electric car charging station Library Daily Laundry facilities Sauna,63.95945|10.22409,+4772532000,7170,http://www.fosenfjordhotel.no/
NO,Norway,101339,Akkerhaugen,1418280,Norsjø Hotel,TwoStar,Nordagutuvegen 81 3812 Akkerhaugen ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sommarland - 13.9 km / 8.7 mi <br /> Bø i Telemark - 14.7 km / 9.1 mi <br /> Bo Museum - 15.4 km / 9.6 mi <br /> Gygrestolen - 21.1 km / 13.1 mi <br /> Vrangfoss Locks - 21.6 km / 13.4 mi <br /> Lifjell Skisenter - 22.8 km / 14.2 mi <br /> Gronkjaer Ski Center - 29.4 km / 18.3 mi <br /> Telnessanden - 31.2 km / 19.4 mi <br /> Henrik Ibsen Museum - 36.3 km / 22.6 mi <br /> Grenland Golf Club - 37.1 km / 23.1 mi <br /> Telemark Museum - 40.3 km / 25 mi <br /> Brekkeparken - 40.6 km / 25.3 mi <br /> Bakkestranda - 41.5 km / 25.8 mi <br /> Seljord Church - 42 km / 26.1 mi <br /> Hjellebrygga - 42.4 km / 26.4 mi <br /> </p><p>The nearest airports are:<br />Sandefjord (TRF-Torp) - 93.6 km / 58.2 mi<br /> Notodden (NTB) - 28.3 km / 17.6 mi<br /> </p><p>The preferred airport for Norsjø Hotel is Sandefjord (TRF-Torp). </p>,"<p>HeadLine : On a lake</p><p>Location : With a stay at Norsjø Hotel in Sauherad, you ll be near the bay, and 8.7 mi (13.9 km) from Sommarland and 9.1 mi (14.7 km) from Bø i Telemark.  This family-friendly hotel is 9.6 mi (15.4 km) from Bo Museum and 13.1 mi (21.1 km) from Gygrestolen.</p><p>Rooms : Make yourself at home in one of the 54 guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and hair dryers. Conveniences include desks, housekeeping is provided daily, and irons/ironing boards can be requested.</p><p>Dining : Satisfy your appetite at the hotel s restaurant, where you can enjoy drinks at the bar/lounge, take in the garden view, or dine alfresco. A complimentary continental breakfast is served daily from 8:00 AM to 10 AM.</p><p>Renovations : The following facilities or services will be unavailable from June 1 2021 to October 1 2021 (dates subject to change): <ul><li>Dining venue(s)</li><li>Fitness facilities</li></ul></p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts Visa and Mastercard; cash is not accepted</li><li>Safety features at this property include a smoke detector</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",+47(0)35955001,Bar/lounge Coffee/tea in common areas elevator 24-hour front desk Marina on site Conference space Free breakfast Business center Uncovered parking Grocery/convenience store Restaurant Meeting rooms Tours/ticket assistance Electric car charging station Free self parking Free WiFi Smoke-free property Hiking/biking trails nearby Terrace Luggage storage Concierge services Banquet hall Television in common areas Accessible bathroom Wheelchair accessible parking Wedding services Garden Multilingual staff Fireplace in lobby Free newspapers in lobby,59.3944|9.25332,+4735955000,3812,http://www.norsjohotell.no/
NO,Norway,101339,Akkerhaugen,1627730,Norsjo Ferieland,All,Liagrendvegen 71 3812 Akkerhaugen ,,"This holiday village is in the Telemark region, by Lake Norsjø. All cottages feature a kitchenette and terrace. Facilities include a restaurant, a private beach and free Wi-Fi internet access.

Each of Norsjø Ferielands cottages includes a private toilet, while some have shared showers.

Restaurant Svilla offers an à la carte menu with Norwegian and Spanish dishes. Outdoor seating is available. In summer, guests can grill in the Ferielands garden.

A small grocery shop, a playground and a minigolf course are available. Guests can rent canoes on site. Staff is happy to help arrange hiking, horse riding, fishing and other activities.

Bø Sommarland Water Park, Notodden and Norsjø Golf Club are within 30 minutes drive of Norsjø Ferieland. Nordagutu Train Station is 6 km away. Bed linen and towels are not included. You can rent them on site or bring your own. You can clean before check-out or pay a final cleaning fee.",,Parking Restaurant Pets allowed Bar 24-hour front desk Garden Terrace Fishing Facilities for disabled guests Free parking internet services children's playground Canoeing Hiking BBQ facilities Cycling Heating Fax/photocopying Horse riding Luggage storage wifi Mini golf Free WiFi Private beach area water sport facilities on site parking on site Private parking wifi available in all areas,59.3875|9.26315,+4735958430|+4735958560,3812,https://www.booking.com/hotel/no/norsja-ferieland.html
NO,Norway,101339,Akkerhaugen,1761229,Norsjø Youth Center,All,Norsjøvegen 201 3812 Akkerhaugen ,,"This Telemark region hostel is 20 minutes drive from Bø Sommarland Water Park. It provides a fully equipped communal kitchen and a private beach area of Lake Norsjø, 100 metres away.

Each simple, soundproofed room at Norsjø Hostel has a seating area with a sofa. Guests can choose rooms with either private or shared bathroom facilities.

Canoe rental and a small snack bar are offered on site, as well as a football pitch and volleyball court. Hostel Norsjø has a games room, terrace and BBQ facilities.

Gvarv village with a grocery store is 7 km away, while the town of Bø is 15 km from the hostel. The nearest station is on Nordagutu. The Akkerhaugen Bus Stop is within 1 km. Please inform Norsjø Hostel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please let Norsjø Hostel know your expected arrival time at least 1 day in advance. You can use the Special Requests box when booking or contact the property.

Bed linen and towels are not included. You can rent them on site or bring your own.

Sleeping bags are not permitted.

Norsjø Hostel is a non-alcoholic property, you are not allowed to bring or consume alcohol on site.",,BBQ facilities Private beach area Fishing Smoke alarms Fire extinguishers kids' outdoor play equipment Snack Bar Allergy-free room Live sport events (broadcast) Canoeing meeting/banquet facilities Facilities for disabled guests On-site parking designated smoking area internet services Parking wifi Non-smoking rooms Garden Billiards Games room Hiking Children television networks Laundry Indoor play area Soundproof rooms Terrace Table tennis Mini-market on site Cycling children's playground Chapel/shrine Ironing service Free parking Non-smoking throughout board games/puzzles Fax/photocopying Family rooms Free WiFi Shared kitchen Private parking shared lounge/TV area Pets allowed,59.38229|9.24223,+4735958277,3812,https://www.booking.com/hotel/no/norsjo-ungdomssenter-og-vandrerhjem.html
NO,Norway,100280,Al,1114084,Thon Hotel Hallingdal,ThreeStar,Sundrevegen 82 3570 Ål ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sundreberget - 0.1 km / 0.1 mi <br /> Al Kulturhus - 0.4 km / 0.2 mi <br /> Al Stave Church Museum - 0.4 km / 0.3 mi <br /> Al Outdoor Museum - 1.4 km / 0.8 mi <br /> Gjeldokk Hestesenter - 1.9 km / 1.2 mi <br /> Al Skisenter - 9.7 km / 6.1 mi <br /> Torpo Stave Church - 11.1 km / 6.9 mi <br /> Liatoppen Skisenter - 11.8 km / 7.3 mi <br /> Leveld Church - 12.3 km / 7.7 mi <br /> Hol Museum - 14.6 km / 9.1 mi <br /> Hol Old Church - 18.1 km / 11.2 mi <br /> Sangefjell Outdoor Cathedral - 19.9 km / 12.4 mi <br /> Round Trip of Golsfjellet - 25.2 km / 15.6 mi <br /> Garnos Route - 25.2 km / 15.6 mi <br /> Hallingrittet - 25.2 km / 15.6 mi <br /> </p><p>The preferred airport for Thon Hotel Hallingdal is Gardermoen Airport (OSL) - 203.9 km / 126.7 mi </p>,"<p>HeadLine : Near Sundreberget</p><p>Location : With a stay at Thon Hotel Hallingdal in Al, you ll be within a 5-minute walk of Sundreberget and Al Kulturhus.  This hotel is 0.5 mi (0.8 km) from Al Stave Church Museum and 0.8 mi (1.4 km) from Al Outdoor Museum.</p><p>Rooms : Make yourself at home in one of the 67 air-conditioned rooms featuring flat-screen televisions. Your pillowtop bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment. Bathrooms have showers and hair dryers.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Thon Hotel Hallingdal, or stop in at the snack bar/deli. Wrap up your day with a drink at the bar/lounge. A complimentary continental breakfast is served on weekdays from 6:30 AM to 9:30 AM and on weekends from 7:30 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",47-32-082032,Wheelchair accessible path of travel Wheelchair accessible (may have limitations) Wheelchair-accessible van parking Meeting rooms Free WiFi Golfing on site Number of bars/lounges - 1 Ski storage Garden Picnic area In-room accessibility (in select rooms) Internet access in public areas - high speed Wheelchair accessible parking Tours/ticket assistance Fishing on site Free continental breakfast Miniature golf on site Luggage storage Free breakfast Business center 24-hour front desk Daily Smoke-free property Snack bar/deli Hiking/biking trails nearby Sauna elevator Free self parking Fitness facilities Conference space Terrace,60.62977|8.55897,47-32-082011,3570,http://www.thonhotels.no/hallingdal
NO,Norway,100280,Al,1419205,Rødungstøl Høyfjellshotell,ThreeStar,3570 Ål i Hallingdal  ,,"This mountain hotel is situated by Lake Rødungen in the Hallingdal Valley, 30 minutes drive from Ål Ski Centre . It offers free Wi-Fi access, a restaurant and rooms with private bathrooms.

A seating area and a TV with satellite channels are featured in all rooms at Rødungstøl Høyfjellshotell.

Traditional Norwegian dishes are served at the in-house restaurant. Live music can be experiences several nights a week at the fully licensed bar.

Relaxation options include a sauna and a solarium. Bicycles, boats and ski equipment can be rented on site. Other facilities include a childrens playroom, tennis table and darts.

Popular activities in the area include fishing, hiking and cycling. Geilo Ski Resort is 60 km away.",,Parking Restaurant Pets allowed meeting/banquet facilities Bar 24-hour front desk Sauna Non-smoking rooms Fishing Skiing Family rooms Games room Ironing service Free parking internet services children's playground Table tennis Darts Hiking BBQ facilities Packed lunches Cycling Heating Luggage storage wifi Ski storage Allergy-free room Free WiFi Non-smoking throughout Snack Bar shuttle service (additional charge) ski equipment hire on site Ski-to-door access Special diet menus (on request) vending machine (drinks) vending machine (snacks) shared lounge/TV area minimarket on site Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles Indoor play area kids' outdoor play equipment Wine/champagne Outdoor furniture Shuttle service Walking tours Bike tours,60.709|8.25721,+4732084622,3570,https://www.booking.com/hotel/no/ra-dungsta-l-ha-yfjellshotell.html
NO,Norway,100280,Al,1474305,Bergsjøstølen Fjellstue,All,Bergsjøområdet 3570 Ål ,,"With a scenic location by Lake Bergsjø, Bergsjøstølen offers a lakeside wooden hot tub, a traditional Norwegian restaurant and ski-to-door access. Skarslia Ski Centre is 4 km away.

All guest rooms at Bergsjøstølen have free Wi-Fi access and a private bathroom with shower. Most rooms feature views of the lake and the Hallingskarvet mountains.

Norwegian dishes with a continental twist can be enjoyed at the in-house restaurant. Refreshing drinks are available in the bar. During summer and spring, meals and drinks can be enjoyed at the outdoor terrace.

Relaxation options include a sauna and a communal lounge with a fireplace and TV. Guests can experience activities like snow kiting and cable skiing on site during winter. Staff can also help arrange horse riding and boat rentals.

A bus stop is located on site. Geilo town centre is 60 km away. If you expect to arrive outside reception opening hours, please inform Bergsjøstølen in advance.",,Parking Non-smoking throughout Restaurant Private beach area Pets allowed shuttle service (additional charge) Bar ski equipment hire on site Sauna Ski-to-door access Terrace Daily housekeeping Non-smoking rooms Fishing Laundry Skiing Family rooms Ironing service internet services Hot tub/jacuzzi Canoeing Hiking BBQ facilities Packed lunches Cycling Fax/photocopying Horse riding Luggage storage wifi Ski storage Allergy-free room Free WiFi parking on site Private parking board games/puzzles secured parking Wine/champagne Beach Shuttle service bicycle rental,60.71645|8.29081,+4732084618,3570,https://www.booking.com/hotel/no/bergsjosta-len.html
NO,Norway,100280,Al,1576502,Liatoppen Fjellstue,ThreeStar,Liatoppen 3570 Ål ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Liatoppen Skisenter - 0.1 km / 0.1 mi <br /> Torpo Stave Church - 10 km / 6.2 mi <br /> Al Kulturhus - 11.5 km / 7.1 mi <br /> Al Skisenter - 11.7 km / 7.2 mi <br /> Al Stave Church Museum - 11.8 km / 7.3 mi <br /> Al Outdoor Museum - 13.2 km / 8.2 mi <br /> Gjeldokk Hestesenter - 14.5 km / 9 mi <br /> Leveld Church - 15.1 km / 9.4 mi <br /> Golsfjellet Alpinsenter - 24.5 km / 15.2 mi <br /> Hol Museum - 25.1 km / 15.6 mi <br /> Gordarike Family Park - 26.4 km / 16.4 mi <br /> Skarslia Ski- og Akesenter - 28.5 km / 17.7 mi <br /> Hol Old Church - 28.6 km / 17.8 mi <br /> Sangefjell Outdoor Cathedral - 30.5 km / 18.9 mi <br /> Gol Skipark - 30.9 km / 19.2 mi <br /> </p>,"<p>HeadLine : Near Liatoppen Skisenter</p><p>Location : When you stay at Liatoppen Fjellhotell in Al, you ll be steps from Liatoppen Skisenter.  This ski hotel is 6.2 mi (10 km) from Torpo Stave Church and 7.1 mi (11.5 km) from Al Kulturhus.</p><p>Rooms : Make yourself at home in one of the 36 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Conveniences include blackout drapes/curtains, housekeeping is provided daily, and irons/ironing boards can be requested.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, Restaurant Fjellet, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 8:00 AM to 10 AM.</p><p>Renovations : This property is closed from March 16 2021 to August 31 2021 (dates subject to change).</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and mobile payments; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8 AM - 11:00 PM. If you are planning to arrive after 6:00 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",47-320-85556,Picnic area Bar/lounge Fitness facilities Train station drop-off (surcharge) Well-lit path to entrance Front desk (limited hours) Free breakfast Uncovered parking Restaurant Meeting rooms Free self parking Free WiFi Sauna Smoke-free property Ski-in/ski-out access Wheelchair accessible  no Distance from property (meters) - 0 Free parking nearby Train station pickup (surcharge) Concierge services Reception hall Television in common areas Fireplace in lobby Free newspapers in lobby,60.67016|8.62379,47-47-32085557,3570,http://liatoppen.no
NO,Norway,100280,Al,5263208,Torpo Gjestegård Leiligheter,ThreeStar,Torpovegen Torpovegen 165  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Torpo Stave Church - 3.5 km / 2.2 mi <br /> Golsfjellet Alpinsenter - 10 km / 6.2 mi <br /> Gordarike Family Park - 11.8 km / 7.3 mi <br /> Al Kulturhus - 13.8 km / 8.5 mi <br /> Al Stave Church Museum - 14.1 km / 8.8 mi <br /> Liatoppen Skisenter - 14.7 km / 9.1 mi <br /> Al Outdoor Museum - 15.5 km / 9.6 mi <br /> Al Skisenter - 15.5 km / 9.6 mi <br /> Gol Skipark - 16.4 km / 10.2 mi <br /> Gjeldokk Hestesenter - 16.8 km / 10.4 mi <br /> Leveld Church - 19 km / 11.8 mi <br /> Gardnos Meteorite Crater - 27.2 km / 16.9 mi <br /> Kamben - 28.5 km / 17.7 mi <br /> Storefjell Ski and Sledding Center - 29 km / 18 mi <br /> Hemsedal Ski Center - 41 km / 25.5 mi <br /> </p>,"<p>HeadLine : On the riverwalk</p><p>Location : Located in Al, Torpo Gjestegård sykkel og skicamp is on the riverwalk, a 4-minute drive from Torpo Stave Church and 12 minutes from Al Kulturhus.  This lodge is 9.1 mi (14.7 km) from Liatoppen Skisenter and 9.6 mi (15.5 km) from Al Skisenter.</p><p>Rooms : Make yourself at home in one of the 15 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the lodge s coffee shop/cafe. Buffet breakfasts are available daily from 8:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 10:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Towels and bed linens are not included in the room rate for Apartments and Cabins. Towels and bed linens are available for a surcharge or guests may bring their own.</p>",,Barbecue grill(s) Library Picnic area Private picnics Coffee/tea in common areas Fitness facilities Well-lit path to entrance Stair-free path to entrance Firepit Front desk (limited hours) Conference space Business center Tours/ticket assistance Free self parking Free WiFi Health club Smoke-free property Number of coffee shops/cafes - 1 Hiking/biking trails nearby Conference space size (meters) - 70 Number of meeting rooms - 2 Ski storage Terrace Secured bicycle storage Wheelchair accessible  no Bicycle parking available Bicycle tour information Shuttle for bicycles available Breakfast available (surcharge) Bicycle repair station Mountain biking nearby Bicycle cleaning area Conference space size (feet) - 753 Snack bar/deli Shared refrigerator Arcade/game room Garden Fireplace in lobby Free newspapers in lobby,60.66665|8.76776,,3579,
NO,Norway,100280,Al,5290050,Liapark,FiveStar,Liagardsvegen 511  ,,"Situated in Al in the Buskerud region, Liapark features accommodation with access to a sauna.

Fitted with a terrace, the units feature a flat-screen TV and a private bathroom with bath or shower. There is also a dining area and a kitchen equipped with a dishwasher and oven.

The lodge offers a barbecue.

Liapark has a garden where you can relax, along with a ski-to-door access and ski storage space.

Torpo Stave Church is 4 km from the accommodation. Please inform Liapark in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Parking Pets allowed meeting/banquet facilities Sauna Garden Terrace Non-smoking rooms Fishing Facilities for disabled guests Skiing Family rooms Free parking internet services express check-in/check-out children's playground Soundproof rooms Canoeing Hiking BBQ facilities Cycling Heating Horse riding Luggage storage wifi Ski storage Free WiFi Non-smoking throughout designated smoking area Sun terrace Private check-in/check-out ski equipment hire on site Ski-to-door access Lockers shared lounge/TV area parking on site Private parking wifi available in all areas board games/puzzles secured parking Street parking electric vehicle charging station Accessible parking Badminton equipment Outdoor furniture Picnic area Outdoor fireplace Live sport events (broadcast) Key access Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay,60.67073|8.62111,,3570,https://www.booking.com/hotel/no/liapark.html
NO,Norway,100280,Al,5295430,Hallingdal Feriepark,ThreeStar,Myrovegen 15  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Al Stave Church Museum - 0.9 km / 0.6 mi <br /> Sundreberget - 1.4 km / 0.9 mi <br /> Al Kulturhus - 1.6 km / 1 mi <br /> Al Outdoor Museum - 1.8 km / 1.1 mi <br /> Gjeldokk Hestesenter - 3.1 km / 1.9 mi <br /> Al Skisenter - 10.9 km / 6.7 mi <br /> Torpo Stave Church - 12 km / 7.4 mi <br /> Liatoppen Skisenter - 12.6 km / 7.8 mi <br /> Leveld Church - 13.2 km / 8.2 mi <br /> Hol Museum - 13.4 km / 8.3 mi <br /> Hol Old Church - 16.9 km / 10.5 mi <br /> Sangefjell Outdoor Cathedral - 18.8 km / 11.7 mi <br /> Arnetrekket - 24.3 km / 15.1 mi <br /> Geilolia Summer Park - 24.5 km / 15.2 mi <br /> B Fugleleiken - 24.6 km / 15.3 mi <br /> </p><p>The nearest airports are:<br />Gardermoen Airport (OSL) - 204.4 km / 127 mi<br /> Sandefjord (TRF-Torp) - 261.5 km / 162.5 mi<br /> </p><p></p>,"<p>HeadLine : Near Al Outdoor Museum</p><p>Location : When you stay at Topcamp Hallingdal - Ål in Al, you ll be near ski lifts, within a 5-minute drive of Al Kulturhus and Sundreberget.  This family-friendly holiday park is 1.2 mi (1.9 km) from Al Outdoor Museum and 1.3 mi (2.1 km) from Al Stave Church Museum.</p><p>Rooms : Make yourself at home in one of the 23 guestrooms, featuring kitchens with refrigerators and stovetops. Rooms have private furnished patios. 32-inch flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include separate sitting areas and coffee/tea makers, and housekeeping is provided once per stay.</p><p>Dining : Satisfy your appetite at Bergtatt Bistro, a restaurant where you can enjoy drinks at the bar/lounge and dine alfresco. Snacks are also available at the coffee shop/cafe.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",,Gift shops or newsstand Dry cleaning/laundry service Roll-in shower (in select rooms) Newspapers in lobby (surcharge) Outdoor furniture Snow sports gear Number of meeting rooms - 1 Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing on site In-room accessibility (in select rooms) Wheelchair accessible parking Snowboarding Nearby Tours/ticket assistance Accessible bathroom (in select rooms) RV  bus  truck parking Fireplace in lobby Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Multilingual staff Electric car charging station Wheelchair-accessible meeting spaces/business center Barbecue grill(s) Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Ziplining on site Bicycle rentals on site Infant/toddler toys Wheelchair accessible (may have limitations) Wheelchair-accessible van parking Wheelchair-accessible registration desk Snack bar/deli Hiking/biking trails nearby Free self parking Terrace Wheelchair accessible path of travel Playground on site Spa services on site Smoke-free property Television in common areas Wheelchair-accessible public washroom No elevator (single level property) Arcade/game room Hiking/biking trails on site Well-lit path to entrance Garden Picnic area Ice skating on site Stair-free path to entrance Full-service spa Wedding services Miniature golf on site Supervised childcare/activities Luggage storage Front desk (limited hours),60.624443|8.541284,+47 32 69 92 00,3570,
NO,Norway,100280,Al,5389706,Kvitebjørn Cabin Ål,ThreeStar,Myklingstølen 36  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Gjeldokk Hestesenter - 8 km / 5 mi <br /> Al Outdoor Museum - 9.5 km / 5.9 mi <br /> Sundreberget - 10.8 km / 6.7 mi <br /> Al Kulturhus - 11.4 km / 7.1 mi <br /> Al Stave Church Museum - 11.5 km / 7.1 mi <br /> Al Skisenter - 14.1 km / 8.8 mi <br /> Torpo Stave Church - 21.8 km / 13.5 mi <br /> Liatoppen Skisenter - 22.4 km / 13.9 mi <br /> Leveld Church - 23 km / 14.3 mi <br /> Hol Museum - 24.6 km / 15.3 mi <br /> Hol Old Church - 28 km / 17.4 mi <br /> Sangefjell Outdoor Cathedral - 29.9 km / 18.6 mi <br /> Tracks Bergsjo Area - 30.9 km / 19.2 mi <br /> Skarslia Ski- og Akesenter - 31 km / 19.3 mi <br /> Arnetrekket - 35.5 km / 22 mi <br /> </p><p>The nearest airports are:<br />Gardermoen Airport (OSL) - 214.2 km / 133.1 mi<br /> Sandefjord (TRF-Torp) - 271.4 km / 168.6 mi<br /> </p><p></p>,"<p>HeadLine : In a rural location</p><p>Location : With a stay at this cabin in Al, you ll be 5 mi (8 km) from Gjeldokk Hestesenter and 5.9 mi (9.5 km) from Al Outdoor Museum.  This cabin is 6.7 mi (10.8 km) from Sundreberget and 7.1 mi (11.4 km) from Al Kulturhus.</p><p>Rooms : Treat yourself to a stay in this individually decorated cabin, which features a fireplace. There s a private furnished balcony. A kitchen is outfitted with a full-sized refrigerator/freezer, an oven, and a stovetop. Satellite programming along with a DVD player are provided for your entertainment.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : There is no front desk at this property. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property for check-in instructions. For more details, please contact the property using the information on the booking confirmation.  Please note that guests are required to bring their own bed linens and towels.</p>",,Cross-country skiing on site Barbecue grill(s) Smoke-free property Hiking/biking trails nearby Express check-out Express check-in Free self parking Fireplace in lobby Terrace,60.659637|8.410554,47-32085710,3570,
